0,0
0.2,2.518551661
0.4,3.036600624
0.6,2.980152772
0.8,2.963325812
1,2.958056825
1.2,2.955981099
1.4,2.956067222
1.6,2.958446105
1.8,2.966638599
2,2.983733261
2.2,3.010191708
2.4,3.04132004
2.6,3.062981081
2.8,3.078499884
3,3.101775632
3.2,3.132642756
3.4,3.152088299
3.5,3.124134388
3.505,3.12693961
3.51,3.130205661
3.515,3.133862401
3.52,3.138103846
3.525,3.141658931
3.53,3.145439706
3.535,3.149035173
3.54,3.152415711
3.545,3.155315485
3.55,3.157725328
3.555,3.159617882
3.56,3.160876279
3.565,3.161448866
3.57,3.161330514
3.575,3.160542419
3.58,3.159128829
3.585,3.157101021
3.59,3.154597395
3.595,3.151700501
3.6,3.148516209
3.605,3.145124953
3.61,3.141680551
3.615,3.138268296
3.62,3.135008344
3.625,3.132068356
3.63,3.12950581
3.635,3.127416304
3.64,3.125936131
3.645,3.125040499
3.65,3.124845897
3.655,3.125313673
3.66,3.126491948
3.665,3.128354286
3.67,3.13080039
3.675,3.133790947
3.68,3.137241966
3.685,3.141031788
3.69,3.144971454
3.695,3.149064611
3.7,3.15304279
3.705,3.156895493
3.71,3.160328374
3.715,3.163336851
3.72,3.165824305
3.725,3.167743704
3.73,3.168982717
3.735,3.169493618
3.74,3.169268087
3.745,3.168316214
3.75,3.166724879
3.755,3.16453755
3.76,3.161757636
3.765,3.158534074
3.77,3.155045638
3.775,3.151360616
3.78,3.147567935
3.785,3.143881797
3.79,3.140408896
3.795,3.137199589
3.8,3.134428926
3.805,3.132172494
3.81,3.130534162
3.815,3.129580151
3.82,3.129339634
3.825,3.129815601
3.83,3.130982273
3.835,3.132827754
3.84,3.135365671
3.845,3.13844799
3.85,3.142045281
3.855,3.145978038
3.86,3.150114024
3.865,3.154317475
3.87,3.158460742
3.875,3.162418903
3.88,3.166054585
3.885,3.169178724
3.89,3.171740473
3.895,3.173704701
3.9,3.174989596
3.905,3.175493615
3.91,3.175227957
3.915,3.174243011
3.92,3.172584334
3.925,3.170238589
3.93,3.167337519
3.935,3.164011738
3.94,3.160376303
3.945,3.156528916
3.95,3.152617221
3.955,3.148763448
3.96,3.145082753
3.965,3.141712198
3.97,3.138791802
3.975,3.136393034
3.98,3.134602977
3.985,3.133512569
3.99,3.13316415
3.995,3.133550355
4,3.134722501
4.005,3.13661392
4.01,3.139154695
4.015,3.142309468
4.02,3.145906879
4.025,3.149923719
4.03,3.15411555
4.035,3.158441842
4.04,3.162704901
4.045,3.1668077
4.05,3.170497174
4.055,3.173704364
4.06,3.176346283
4.065,3.178364111
4.07,3.179670611
4.075,3.180192163
4.08,3.179905236
4.085,3.178868869
4.09,3.17711509
4.095,3.174720478
4.1,3.171718642
4.105,3.168174545
4.11,3.164347988
4.115,3.160318732
4.12,3.156162375
4.125,3.152091405
4.13,3.148269456
4.135,3.144703769
4.14,3.141575468
4.145,3.139032373
4.15,3.137119038
4.155,3.13592737
4.16,3.13551022
4.165,3.135852677
4.17,3.136972801
4.175,3.138751169
4.18,3.141322303
4.185,3.144480318
4.19,3.148156334
4.195,3.152265657
4.2,3.156596163
4.205,3.160986141
4.21,3.165353005
4.215,3.169507785
4.22,3.173383145
4.225,3.176727332
4.23,3.179497769
4.235,3.181564354
4.24,3.182989976
4.245,3.183592962
4.25,3.183367689
4.255,3.182372591
4.26,3.180662918
4.265,3.178271921
4.27,3.175229354
4.275,3.171726311
4.28,3.167872523
4.285,3.163770807
4.29,3.159591107
4.295,3.155444596
4.3,3.15146215
4.305,3.147804831
4.31,3.144576257
4.315,3.141900788
4.32,3.139827242
4.325,3.138489442
4.33,3.137913315
4.335,3.13812548
4.34,3.139145561
4.345,3.140933249
4.35,3.143433563
4.355,3.146570558
4.36,3.150204581
4.365,3.154260627
4.37,3.158608849
4.375,3.163045218
4.38,3.167467988
4.385,3.171767108
4.39,3.175733659
4.395,3.17911216
4.4,3.181948783
4.405,3.18412815
4.41,3.185629108
4.415,3.186288914
4.42,3.186111235
4.425,3.185159913
4.43,3.183426913
4.435,3.181036364
4.44,3.177972703
4.445,3.174384334
4.45,3.170381862
4.455,3.166189395
4.46,3.161832505
4.465,3.157517475
4.47,3.153433997
4.475,3.149623256
4.48,3.146198648
4.485,3.143375581
4.49,3.141181904
4.495,3.13973177
4.5,3.139059604
4.505,3.139186821
4.51,3.140139572
4.515,3.141782503
4.52,3.144216386
4.525,3.147315514
4.53,3.150957025
4.535,3.155085187
4.54,3.159504636
4.545,3.164002743
4.55,3.168495731
4.555,3.172830393
4.56,3.176860039
4.565,3.180452513
4.57,3.183421945
4.575,3.185714614
4.58,3.187300915
4.585,3.188114334
4.59,3.188065163
4.595,3.187187255
4.6,3.185576645
4.605,3.183257038
4.61,3.180262852
4.615,3.17672706
4.62,3.172803501
4.625,3.168605102
4.63,3.16427265
4.635,3.159948236
4.64,3.155766671
4.645,3.151866755
4.65,3.148385428
4.655,3.145447537
4.66,3.143114715
4.665,3.141480677
4.67,3.140653771
4.675,3.140614883
4.68,3.141421456
4.685,3.143010092
4.69,3.145361083
4.695,3.148371668
4.7,3.151952674
4.705,3.155958657
4.71,3.160329144
4.715,3.164835312
4.72,3.169364049
4.725,3.173759882
4.73,3.177960542
4.735,3.181555827
4.74,3.184601006
4.745,3.186980585
4.75,3.188711035
4.755,3.189590036
4.76,3.189639153
4.765,3.188851818
4.77,3.187278844
4.775,3.184995763
4.78,3.182021865
4.785,3.178471544
4.79,3.174468826
4.795,3.17020006
4.8,3.165758914
4.805,3.161286929
4.81,3.157014256
